Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2",0603,4,100n/16V,
"C10, C18, C19, C20, C9",0603,5,"220nF/6,3V",
"C13, C15, C3, C4",0603,4,22n/50V,
"C14, C16, C5, C6",0603,4,"2,2u/6,3V",
C17,0603,1,"100n/6,3V",
C21,C_Elec_10x10.2,1,"4,7uF",
C7,C_Elec_10x10.2,1,680uF/35V,
C8,C_Elec_6.3x5.4,1,"220uF/6,3V",
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
D2,D_MiniMELF,1,D_Zener,
D4,D_DO-201AD_P15.24mm_Horizontal,1,1N5408,
"J1, J2, J4, J6","PhoenixContact_MC_1,5_4-GF-3.81_1x04_P3.81mm_Horizontal_ThreadedFlange_MountHole",4,Conn_01x04_Socket,
"J10, J11, J5, J7, J8, J9",JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,6,Conn_01x03_Socket,
J12,PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x04_Pin,
J13,"PhoenixContact_MC_1,5_2-GF-3.5_1x02_P3.50mm_Horizontal_ThreadedFlange_MountHole",1,Conn_01x02_Socket,
J14,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
"J15, J18",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Conn_01x04_Socket,
J16,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,Conn_01x02_Socket,
J17,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
J3,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
L1,L_7.3x7.3_H4.5,1,33uH,
Q3,TO-220-3_Vertical,1,IRLZ44N,
R1,0603,1,"3,4k",
"R10, R12, R13, R19, R21, R24, R25, R3, R4, R5, R6, R9",0603,12,10k,
R11,0603,1,220R,
"R14, R15, R16, R17, R22, R23, R7, R8",1206,8,"0,11R",
R18,0603,1,100R,
R2,0603,1,1k,
R20,0603,1,"2,4k",
TH1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,Thermistor_NTC,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F446RETx,
"U10, U9",DIP-4_W7.62mm,2,PC817,
"U11, U7",SOT-223-3_TabPin2,2,AMS1117-3.3,
U12,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
"U2, U3, U6, U8",VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,4,TMC2209-LA,
U4,TO-263-5_TabPin3,1,LM2596S-3.3,
U5,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,MX25L3233FM1,
