Designator,Mid X,Mid Y,Rotation,Layer
C1,237.985,-90.5,0.0,top
C10,214.375,-62.75,90.0,top
C11,238.235,-102.75,0.0,top
C12,238.235,-115.25,0.0,top
C13,239.235,-98.75,90.0,top
C14,248.735,-102.75,0.0,top
C15,239.235,-111.525,90.0,top
C16,248.735,-115.25,0.0,top
C17,199.0,-113.5,0.0,top
C18,206.5,-47.75,90.0,top
C19,226.0,-70.0,90.0,top
C2,237.985,-78.75,0.0,top
C20,192.5,-123.5,270.0,top
C21,213.5,-113.5,0.0,top
C3,238.985,-75.25,90.0,top
C4,238.985,-86.5,90.0,top
C5,248.485,-78.75,0.0,top
C6,248.3,-90.23,0.0,top
C7,185.875,-60.75,90.0,top
C8,221.5,-67.25,180.0,top
C9,214.375,-59.25,90.0,top
D1,201.5,-68.0,0.0,top
D2,219.0,-106.5,180.0,top
D4,235.615,-60.75,0.0,top
J1,261.15,-64.715,90.0,top
J10,210.3,-30.695,180.0,top
J11,199.3,-30.695,180.0,top
J12,211.88,-125.925,270.0,top
J13,173.945,-29.2825,180.0,top
J14,226.475,-104.75,90.0,top
J15,234.0,-134.805,0.0,top
J16,188.445,-29.4325,180.0,top
J17,186.75,-123.0,180.0,top
J18,247.5,-134.805,0.0,top
J2,261.2175,-37.945,90.0,top
J3,253.25,-30.695,180.0,top
J4,261.15,-91.655,90.0,top
J5,243.5,-30.695,180.0,top
J6,261.2175,-118.445,90.0,top
J7,232.5,-30.695,180.0,top
J8,221.35,-30.695,180.0,top
J9,259.75,-134.805,0.0,top
L1,212.75,-72.5,0.0,top
Q3,248.875,-61.41,270.0,top
R1,213.375,-66.75,0.0,top
R10,223.45,-87.3,0.0,top
R11,202.5,-102.0,90.0,top
R12,202.5,-98.5,270.0,top
R13,195.75,-48.75,180.0,top
R14,250.235,-109.25,0.0,top
R15,250.235,-97.25,0.0,top
R16,250.0225,-87.5,0.0,top
R17,249.985,-76.25,0.0,top
R18,247.675,-55.0,0.0,top
R19,250.75,-55.0,0.0,top
R2,219.45,-98.475,90.0,top
R20,189.5,-80.5,180.0,top
R21,196.5,-88.5,0.0,top
R22,250.2725,-112.75,0.0,top
R23,250.235,-100.25,0.0,top
R24,201.0,-42.75,180.0,top
R25,192.75,-45.75,270.0,top
R3,222.175,-85.575,0.0,top
R4,223.35,-83.875,0.0,top
R5,210.5,-90.5,0.0,top
R6,192.0,-108.75,0.0,top
R7,249.985,-84.5,0.0,top
R8,250.0225,-73.25,0.0,top
R9,222.125,-89.075,0.0,top
TH1,194.75,-45.73,270.0,top
U1,211.5,-100.0,270.0,top
U10,196.495,-92.505,180.0,top
U11,187.0,-114.0,270.0,top
U12,201.05,-46.2,270.0,top
U2,243.485,-75.25,0.0,top
U3,243.485,-86.5,0.0,top
U4,206.25,-59.75,0.0,top
U5,211.0,-87.0,0.0,top
U6,243.735,-98.8,0.0,top
U7,220.375,-59.75,180.0,top
U8,243.735,-110.75,0.0,top
U9,196.505,-81.995,0.0,top
